No,Cement,Slag,Fly Ash,Water,Superplasticizer (SP),Coarse Aggregate ,Fine Aggregate,Age (day),Concrete compressive strength(Mpa)
21,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,41.84 
22,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,28 ,28.24 
23,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,3 ,8.06 
24,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,180 ,44.21 
25,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.52 
26,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,53.30 
27,380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,41.15 
28,342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,52.12 
29,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,37.43 
30,475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,38.60 
31,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,55.26 
32,266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,52.91 
33,198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,180 ,41.72 
34,475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,42.13 
35,190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,365 ,53.69 
36,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,270 ,38.41 
37,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,30.08 
38,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,37.72 
39,475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,42.23 
40,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,36.25 
41,342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,50.46 
42,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,43.70 
43,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,39.00 
44,380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,53.10 
45,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,41.54 
46,427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,35.08 
47,349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,3 ,15.05 
48,380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,40.76 
49,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,26.26 
50,380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,32.82 
51,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,180 ,39.78 
52,190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,46.93 
53,237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,90 ,33.12 
54,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,90 ,49.19 
55,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,7 ,14.59 
56,198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,7 ,14.64 
57,475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,365 ,41.93 
58,198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,825.5 ,3 ,9.13 
59,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,50.95 
60,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,28 ,33.02 
61,304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,54.38 
62,266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,51.73 
63,310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,971.0 ,850.6 ,3 ,9.87 
64,190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,50.66 
65,266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,180 ,48.70 
66,342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,270 ,55.06 
67,139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,806.9 ,360 ,44.70 
68,332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,594.0 ,7 ,30.28 
69,190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,670.0 ,28 ,40.86 
70,485.0 ,0.0 ,0.0 ,146.0 ,0.0 ,1120.0 ,800.0 ,28 ,71.99 
71,374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,3 ,34.40 
72,313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,3 ,28.80 
73,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,3 ,33.40 
74,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,3 ,36.30 
75,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,3 ,29.00 
76,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,3 ,37.80 
77,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,3 ,40.20 
78,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,3 ,33.40 
79,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,3 ,28.10 
80,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,3 ,41.30 
81,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,3 ,33.40 
82,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,3 ,25.20 
83,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,3 ,41.10 
84,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
85,323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,659.9 ,3 ,28.30 
86,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,3 ,28.60 
87,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
88,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,3 ,24.40 
89,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
90,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,3 ,39.30 
91,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,3 ,40.60 
92,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,3 ,35.30 
93,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,3 ,24.10 
94,374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,7 ,46.20 
95,313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,7 ,42.80 
96,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,7 ,49.20 
97,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,7 ,46.80 
98,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,7 ,45.70 
99,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,7 ,55.60 
100,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,7 ,54.90 
101,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,7 ,49.20 
102,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,7 ,34.90 
103,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,7 ,46.90 
104,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,7 ,49.20 
105,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,7 ,33.40 
106,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,7 ,54.10 
107,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,7 ,55.90 
108,323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,659.9 ,7 ,49.80 
109,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,7 ,47.10 
110,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,7 ,55.90 
111,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,7 ,38.00 
112,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,7 ,55.90 
113,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,7 ,56.10 
114,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,7 ,59.09 
115,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,7 ,22.90 
116,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,7 ,35.10 
117,374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,28 ,61.09 
118,313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,28 ,59.80 
119,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,28 ,60.29 
120,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,28 ,61.80 
121,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,28 ,56.70 
122,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,28 ,68.30 
123,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,28 ,66.90 
124,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,28 ,60.29 
125,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,28 ,50.70 
126,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,28 ,56.40 
127,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,28 ,60.29 
128,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,28 ,55.50 
129,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,28 ,68.50 
130,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,28 ,71.30 
131,323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,659.9 ,28 ,74.70 
132,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,28 ,52.20 
133,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,28 ,71.30 
134,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,28 ,67.70 
135,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,28 ,71.30 
136,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,28 ,66.00 
137,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,28 ,74.50 
138,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,28 ,71.30 
139,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,28 ,49.90 
140,374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,56 ,63.40 
141,313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,56 ,64.90 
142,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,56 ,64.30 
143,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,56 ,64.90 
144,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,56 ,60.20 
145,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,56 ,72.30 
146,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,56 ,69.30 
147,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,56 ,64.30 
148,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,56 ,55.20 
149,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,56 ,58.80 
150,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,56 ,64.30 
151,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,56 ,66.10 
152,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,56 ,73.70 
153,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,56 ,77.30 
154,323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,659.9 ,56 ,80.20 
155,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,56 ,54.90 
156,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,56 ,77.30 
157,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,56 ,72.99 
158,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,56 ,77.30 
159,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,56 ,71.70 
160,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,56 ,79.40 
161,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,56 ,77.30 
162,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,56 ,59.89 
163,374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,756.7 ,91 ,64.90 
164,313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,611.8 ,91 ,66.60 
165,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,91 ,65.20 
166,425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,803.7 ,91 ,66.70 
167,375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,992.6 ,91 ,62.50 
168,475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,781.5 ,91 ,74.19 
169,469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,840.5 ,91 ,70.70 
170,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,91 ,65.20 
171,388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,925.7 ,91 ,57.60 
172,531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,893.7 ,91 ,59.20 
173,425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,887.1 ,91 ,65.20 
174,318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,880.4 ,91 ,68.10 
175,401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,852.1 ,91 ,75.50 
176,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,91 ,79.30 
177,379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,605.0 ,91 ,56.50 
178,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,91 ,79.30 
179,286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,803.7 ,91 ,76.80 
180,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,91 ,79.30 
181,439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,707.9 ,91 ,73.30 
182,389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,755.8 ,91 ,82.60 
183,362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,755.8 ,91 ,79.30 
184,337.9 ,189.0 ,0.0 ,174.9 ,9.5 ,944.7 ,755.8 ,91 ,67.80 
185,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870.3 ,3 ,11.58 
186,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870.3 ,14 ,24.45 
187,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870.3 ,28 ,24.89 
188,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870.3 ,56 ,29.45 
189,222.4 ,0.0 ,96.7 ,189.3 ,4.5 ,967.1 ,870.3 ,100 ,40.71 
190,233.8 ,0.0 ,94.6 ,197.9 ,4.6 ,947.0 ,852.2 ,3 ,10.38 
191,233.8 ,0.0 ,94.6 ,197.9 ,4.6 ,947.0 ,852.2 ,14 ,22.14 
192,233.8 ,0.0 ,94.6 ,197.9 ,4.6 ,947.0 ,852.2 ,28 ,22.84 
193,233.8 ,0.0 ,94.6 ,197.9 ,4.6 ,947.0 ,852.2 ,56 ,27.66 
194,233.8 ,0.0 ,94.6 ,197.9 ,4.6 ,947.0 ,852.2 ,100 ,34.56 
195,194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,905.9 ,3 ,12.45 
196,194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,905.9 ,14 ,24.99 
197,194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,905.9 ,28 ,25.72 
198,194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,905.9 ,56 ,33.96 
199,194.7 ,0.0 ,100.5 ,165.6 ,7.5 ,1006.4 ,905.9 ,100 ,37.34 
200,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,3 ,15.04 
201,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,14 ,21.06 
202,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,28 ,26.40 
203,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,56 ,35.34 
204,190.7 ,0.0 ,125.4 ,162.1 ,7.8 ,1090.0 ,804.0 ,100 ,40.57 
205,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779.3 ,3 ,12.47 
206,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779.3 ,14 ,20.92 
207,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779.3 ,28 ,24.90 
208,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779.3 ,56 ,34.20 
209,212.1 ,0.0 ,121.6 ,180.3 ,5.7 ,1057.6 ,779.3 ,100 ,39.61 
210,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,758.6 ,3 ,10.03 
211,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,758.6 ,14 ,20.08 
212,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,758.6 ,28 ,24.48 
213,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,758.6 ,56 ,31.54 
214,230.0 ,0.0 ,118.3 ,195.5 ,4.6 ,1029.4 ,758.6 ,100 ,35.34 
215,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,3 ,9.45 
216,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,14 ,22.72 
217,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,28 ,28.47 
218,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,56 ,38.56 
219,190.3 ,0.0 ,125.2 ,161.9 ,9.9 ,1088.1 ,802.6 ,100 ,40.39 
220,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780.1 ,3 ,10.76 
221,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780.1 ,14 ,25.48 
222,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780.1 ,28 ,21.54 
223,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780.1 ,56 ,28.63 
224,166.1 ,0.0 ,163.3 ,176.5 ,4.5 ,1058.6 ,780.1 ,100 ,33.54 
225,168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780.1 ,3 ,7.75 
226,168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780.1 ,14 ,17.82 
227,168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780.1 ,28 ,24.24 
228,168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780.1 ,56 ,32.85 
229,168.0 ,42.1 ,163.8 ,121.8 ,5.7 ,1058.7 ,780.1 ,100 ,39.23 
230,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785.4 ,3 ,18.00 
231,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785.4 ,14 ,30.39 
232,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785.4 ,28 ,45.71 
233,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785.4 ,56 ,50.77 
234,213.7 ,98.1 ,24.5 ,181.7 ,6.9 ,1065.8 ,785.4 ,100 ,53.90 
235,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,3 ,13.18 
236,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,14 ,17.84 
237,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,28 ,40.23 
238,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,56 ,47.13 
239,213.8 ,98.1 ,24.5 ,181.7 ,6.7 ,1066.0 ,785.5 ,100 ,49.97 
240,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,3 ,13.36 
241,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,14 ,22.32 
242,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,28 ,24.54 
243,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,56 ,31.35 
244,229.7 ,0.0 ,118.2 ,195.2 ,6.1 ,1028.1 ,757.6 ,100 ,40.86 
245,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,3 ,19.93 
246,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,14 ,25.69 
247,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,28 ,30.23 
248,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,56 ,39.59 
249,238.1 ,0.0 ,94.1 ,186.7 ,7.0 ,949.9 ,847.0 ,100 ,44.30 
250,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,3 ,13.82 
251,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,14 ,24.92 
252,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,28 ,29.22 
253,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,56 ,38.33 
254,250.0 ,0.0 ,95.7 ,187.4 ,5.5 ,956.9 ,861.2 ,100 ,42.35 
255,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,3 ,13.54 
256,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,14 ,26.31 
257,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,28 ,31.64 
258,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,56 ,42.55 
259,212.5 ,0.0 ,100.4 ,159.3 ,8.7 ,1007.8 ,903.6 ,100 ,42.92 
260,212.6 ,0.0 ,100.4 ,159.4 ,10.4 ,1003.8 ,903.8 ,3 ,13.33 
